gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHLRE_01g000150v5,31.889635134920233,-4.246928348735924,0.8533720319376836,-4.976643468257055,6.469632845866577e-7,7.316360232360693e-6
CHLRE_01g000500v5,742.2107596525063,-2.030911382917386,0.2678014708449388,-7.583645364268051,3.359787224567825e-14,1.4026676456971631e-12
CHLRE_01g000600v5,199.40739939918464,-1.429995766376324,0.3302473056130172,-4.330075498184348,1.4905822855574941e-5,1.1792210864879244e-4
CHLRE_01g000850v5,1059.5197118708973,-1.5112427142395795,0.25650948288657643,-5.891566647880312,3.825513090755532e-9,6.78944311206227e-8
CHLRE_01g000950v5,44.18949016760815,3.2992433137068553,0.7116745969659546,4.635887423511178,3.5540936844151033e-6,3.287842693705475e-5
CHLRE_01g001000v5,19.141356175549436,7.39978410777148,1.6793628312522169,4.406304563888574,1.0514909157663732e-5,8.645293932436278e-5
CHLRE_01g001150v5,367.1245932830467,1.123809528450469,0.30103589790442187,3.733141250839379,1.8910647229564693e-4,0.0010704077277992098
CHLRE_01g001200v5,1195.4237256077831,-1.0551892456493404,0.29717581833459067,-3.5507237821796838,3.8417337947977944e-4,0.0019566858439685982
CHLRE_01g001501v5,70.32393462172145,-1.3590337679196338,0.49183406852780537,-2.763195668790484,0.005723844185812248,0.01869850984276594
CHLRE_01g001550v5,1425.2667726623126,-1.4367428912412556,0.2620021093294754,-5.48370734464015,4.165035855783441e-8,6.068675661478314e-7
CHLRE_01g001700v5,219.70672481899115,1.6843141389261722,0.4046044487479154,4.162866088443745,3.142776967768805e-5,2.2916674586241759e-4
CHLRE_01g001750v5,380.8435351626696,-1.3734025819692661,0.3094753646872357,-4.4378413879801535,9.086553539593545e-6,7.602793888398233e-5
CHLRE_01g002050v5,281.4316355013026,1.0790625138139915,0.34053251622060515,3.168750302584758,0.0015309586055962427,0.00632282914211989
CHLRE_01g002100v5,46.824674055580445,2.327284060324444,0.6124306526952028,3.800077690563762,1.4465073150325268e-4,8.5417608580979e-4
CHLRE_01g002203v5,26.01045219735707,7.839969245142803,1.6079787102705445,4.87566731764982,1.084412349541304e-6,1.1504479929465512e-5
CHLRE_01g002201v5,26.264737353328755,2.979960585053691,0.8492177993095579,3.509065150867654,4.496847358762741e-4,0.0022442457474902934
CHLRE_01g002227v5,80.71679283383702,-1.390438396070571,0.47544340742751406,-2.9245087308999165,0.0034500040144778317,0.012300180241882801
CHLRE_01g002234v5,88.91931918615386,-2.0270611203748303,0.49955232055809873,-4.05775538808468,4.9546622897923443e-5,3.3846707418399164e-4
CHLRE_01g002250v5,424.8269309332388,-1.5755649923052926,0.30326899364348997,-5.195272267620801,2.0442043895289528e-7,2.5616138209377196e-6
CHLRE_01g002300v5,2309.3208266559814,1.0608629748833704,0.24367394583610177,4.353616761296756,1.3390972060265687e-5,1.0730756576388939e-4
CHLRE_01g002350v5,164.77357624337287,2.8910151607949053,0.39037811539210726,7.405679383156724,1.304807301564181e-13,5.054560015554513e-12
CHLRE_01g002451v5,26.07950284903377,4.263307795996375,1.0285128336617333,4.145118715551711,3.39637703694289e-5,2.4499828088780066e-4
CHLRE_01g002650v5,5.757499824955277,5.661387422815548,2.09585557029764,2.7012297522064244,0.006908359780905958,0.02182906232731363
CHLRE_01g002700v5,55.32756501804554,2.1677143144978155,0.5636655058384186,3.8457459114399253,1.2018625869424672e-4,7.270276121838536e-4
CHLRE_01g002787v5,103.99612896956705,-1.0442949258993526,0.409114784525096,-2.5525719563314713,0.010693081936023877,0.03121155866673153
CHLRE_01g002900v5,986.6825655744763,-1.7105517127606786,0.2783148320804652,-6.146103317505303,7.940956972659458e-10,1.6157641617980703e-8
CHLRE_01g003000v5,79.82193791530774,2.2869916720207915,0.48482174179052073,4.717180511696076,2.391355054154661e-6,2.3242874968457393e-5
CHLRE_01g003050v5,109.92689335956145,1.470666243045494,0.4242329201257921,3.466648091829877,5.269913437967657e-4,0.0025641502129483333
CHLRE_01g003100v5,52.98632812318929,6.415160482146935,1.1433529262901148,5.61083138428873,2.013568875315107e-8,3.135136466251493e-7
CHLRE_01g003200v5,81.70840051277513,1.5520731346175534,0.4789558398979003,3.2405349414852336,0.0011930564949011175,0.00513654967013933
CHLRE_01g003463v5,88.67768124887232,1.6277260640141098,0.4680089324796649,3.4779807628668173,5.052061806451445e-4,0.0024783554341237454
CHLRE_01g003500v5,95.35283810689401,2.2916492902982344,0.4987736962542045,4.594567250656047,4.336482611020033e-6,3.93365248507755e-5
CHLRE_01g003516v5,631.4342067121748,-1.1417132855646528,0.2679565163051643,-4.260815528234454,2.036823027722885e-5,1.5585661487062816e-4
CHLRE_01g003600v5,8.281449828788096,6.189469227143465,1.8927931322258849,3.2700188529661345,0.0010754031678461469,0.0047221041007740215
CHLRE_01g003800v5,40.82897862629307,1.8141952389531781,0.7081515710784729,2.5618741990366076,0.010410902127668957,0.030580466274785684
CHLRE_01g003826v5,106.34949667818643,-1.3067122265889213,0.4399593738138297,-2.9700747486331793,0.0029772729527341234,0.010944058766722263
CHLRE_01g003950v5,585.4229198102609,-1.6791083533877653,0.3305726938977118,-5.079392171173482,3.7864436154671826e-7,4.4813428420015475e-6
CHLRE_01g004157v5,1382.8364761371088,-2.14795250190523,0.2526474571321479,-8.501777640222747,1.8670919665194453e-17,1.291338499590595e-15
CHLRE_01g004800v5,3021.338023052803,-1.654697385623035,0.2330507734518449,-7.100158309343452,1.246140623235099e-12,4.1749596971795466e-11
