gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CHLRE_01g009800v5,1690.2314688593308,1.0168430948296137,0.27071513294305394,3.7561368800299424,1.7255633952679986e-4,0.027292138137156943
CHLRE_01g020800v5,719.1421924438682,1.377948290404475,0.29165385554794304,4.724601661156382,2.305668519947093e-6,0.0012831802007359128
CHLRE_01g025983v5,1132.1105128194315,-1.3787237875428409,0.3729426997089063,-3.6968783371251908,2.1826687909079338e-4,0.03238268246098253
CHLRE_01g029150v5,1084.9895575671596,1.9338267418390598,0.28679188848588466,6.742961776390126,1.55190047359124e-11,1.3499982219770198e-7
CHLRE_01g030350v5,897.6845772787909,1.283601356492876,0.28282067686727846,4.538569706822539,5.663707389074355e-6,0.0024634295288778908
CHLRE_01g036800v5,678.9780864299833,1.1758632172315422,0.296443804718735,3.966563640441728,7.291631242564326e-5,0.015314849564324008
CHLRE_01g037800v5,1835.9936021097842,1.6669411505268215,0.2797402072510337,5.958890096306174,2.539568114525139e-9,7.2840231907596205e-6
CHLRE_01g041500v5,346.7403414071991,1.5209963406517095,0.3517130104546189,4.324538175843119,1.5285173390625283e-5,0.004660786746530483
CHLRE_01g044200v5,309.00837504155896,1.7380953680521607,0.32862914317252534,5.288926451479341,1.2303634806145434e-7,1.3378664897332392e-4
CHLRE_02g092350v5,1143.5986694662483,1.2175256807262114,0.3192794462175334,3.8133543989445515,1.3709330488242583e-4,0.02380017578393204
CHLRE_02g141950v5,689.6527835078978,1.2686876227008987,0.2915496799102987,4.35153152317381,1.3518987986648839e-5,0.00435561764799475
CHLRE_03g143827v5,2217.0549717328463,1.075775530962833,0.2709873409610116,3.969836846059944,7.192186322250978e-5,0.015314849564324008
CHLRE_03g144544v5,417.71435999212656,1.29294699408491,0.3394459470826217,3.808992286392521,1.3953431026331005e-4,0.02380017578393204
CHLRE_03g146507v5,1288.610426278897,1.0397394427691118,0.28749512193948834,3.6165463808737424,2.985598418545235e-4,0.041224953401468256
CHLRE_03g156750v5,2125.718710947952,1.198088679419816,0.3053576443490107,3.9235588222263464,8.725044973981952e-5,0.016866481384148667
CHLRE_03g157900v5,222.52918574695363,1.539273910668247,0.35717722411106856,4.309552252384354,1.6358540553506428e-5,0.004743431475831747
CHLRE_03g157950v5,185.19493440701464,1.9142878974386945,0.4229960587261219,4.525545470101276,6.023992717718171e-6,0.002495367269115732
CHLRE_03g162400v5,193.0173075776122,1.377186080356507,0.36230277698224167,3.8012021100903954,1.4399578404645754e-4,0.024088833181156427
CHLRE_03g168450v5,1763.6426940491906,1.1640992259860525,0.2758475683185159,4.2200815221321415,2.442139909999856e-5,0.006852959702286693
CHLRE_03g176200v5,703.4828413983226,1.5259079394530688,0.33815289505489965,4.512479300836195,6.4074189607764785e-6,0.0025335517063542995
CHLRE_03g178500v5,603.6852531635926,1.4364738661977432,0.3280611000737765,4.378677831278075,1.194014888385837e-5,0.003994898274641691
CHLRE_03g200150v5,646.0083854333976,1.534970777149238,0.293192450656868,5.2353693749968375,1.6465523979316592e-7,1.591484367734167e-4
CHLRE_04g217952v5,833.3878564813731,1.5991545614478802,0.2907739806306476,5.499648070228087,3.805500232508905e-8,4.729149503227852e-5
CHLRE_06g254850v5,809.179857129966,1.1063959601944444,0.3035693544248286,3.644623358937952,2.677836717668196e-4,0.038187707552451856
CHLRE_06g258363v5,384.79025538584193,1.286907268661873,0.32520077199280795,3.9572700297597505,7.581121498675421e-5,0.015314849564324008
CHLRE_06g278194v5,1829.3101158081236,1.0991740669556473,0.29551099878846127,3.7195707485069978,1.9956164416822333e-4,0.030455907765252185
CHLRE_06g302200v5,284.9174425524667,1.5173664855589644,0.33719262453195376,4.499999036649073,6.795377045430498e-6,0.0025701297790521696
CHLRE_06g303400v5,1313.1311918852477,1.1830556946435473,0.30541219227869554,3.8736361041015095,1.0722348015541471e-4,0.01984546923131814
CHLRE_07g343850v5,1589.2807201836713,1.2764075167565136,0.32296816690245367,3.952115556769494,7.746331541904314e-5,0.015314849564324008
CHLRE_07g352500v5,402.3238873416546,1.4936191698865167,0.3190493413288671,4.681467649064776,2.8482835088571865e-6,0.0013765121246415925
CHLRE_07g356050v5,355.2509684465069,1.2164742953151724,0.3379958608803258,3.5990804507096894,3.193443928475773e-4,0.042090558687592046
CHLRE_08g358700v5,96.91667817736399,1.6626608074665317,0.4684755845841294,3.549087427773835,3.86568709849625e-4,0.04873566966640417
CHLRE_08g358751v5,230.94572127430055,1.811560582678712,0.3599548458869276,5.032743977137,4.835086654709191e-7,3.505034900776271e-4
CHLRE_08g359850v5,670.6925858812518,1.7328196346909075,0.2930283061454242,5.913488896294351,3.3493611637014003e-9,7.2840231907596205e-6
CHLRE_08g366600v5,310.1760300406289,-1.9811619422842524,0.42169284928587236,-4.698116047353676,2.625722364773369e-6,0.001343597579480208
CHLRE_09g397200v5,1628.8246132924548,1.2186765392687067,0.2820407467675124,4.32092367232763,1.553774176909806e-5,0.004660786746530483
CHLRE_09g395500v5,595.3058586703544,1.2768855061459055,0.30645097716773667,4.16668766387062,3.0905748221591696e-5,0.00814694253877655
CHLRE_09g396549v5,145.51334524420403,1.4551260122331138,0.4007742487709303,3.6307871992664307,2.8255808846254705e-4,0.03964472276670479
CHLRE_09g400701v5,225.2582788727637,2.2281331204119352,0.3650413573821207,6.10378269572221,1.0358710005976167e-9,4.505520917099334e-6
CHLRE_09g411450v5,909.9844988802088,1.344209494176339,0.28479897275995214,4.719853731036206,2.3601429143320616e-6,0.0012831802007359128
