gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_01g010900v5,69696.77063823158,-1.1803070755754523,0.12162119327010631,-9.704781246095239,2.8769276722803887e-22,1.9604716629576814e-20,NONE
CHLRE_01g011300v5,1049.3451494311034,2.202671039876462,0.22052920858011774,9.988114744792354,1.7181834896605657e-23,1.330261217276638e-21,UP
CHLRE_01g011550v5,35.96784233471065,1.1692520737320502,0.3775774269587286,3.0967213351444767,0.001956737230316108,0.006386018932345723,NONE
CHLRE_01g011750v5,122.12056688289292,-1.4052325453558223,0.23882072361303777,-5.884047766443948,4.003522126803201e-9,4.584866902299415e-8,NONE
CHLRE_01g012100v5,12.046741440289555,1.325040793973924,0.49964334490000495,2.651973267529678,0.008002287731740507,0.021626635035092216,NONE
CHLRE_01g012700v5,12.76579479189145,-3.467288538983062,0.7048857387272002,-4.918936997142096,8.701546914829281e-7,6.449312816739312e-6,DOWN
CHLRE_01g012750v5,313.3473530777712,-1.7150980312720967,0.1891588549319472,-9.06697194740965,1.2237040762665195e-19,6.209262745141899e-18,NONE
CHLRE_01g013050v5,831.1933898971911,-1.6922135084055632,0.19453371568810654,-8.69881862082287,3.353570426201901e-18,1.4402012994399884e-16,NONE
CHLRE_01g013400v5,173.80754444151017,1.015643478052125,0.20259941795188827,5.013062171251214,5.357057817240548e-7,4.143679196252996e-6,NONE
CHLRE_01g014000v5,1514.8330559598362,-1.1410950581222477,0.21847844013184067,-5.2229183686667415,1.761250455903717e-7,1.492537578022004e-6,NONE
CHLRE_01g014050v5,318.3553422795337,-1.1606626617521705,0.2174863314766662,-5.336715433432635,9.46454028967651e-8,8.450445799515719e-7,NONE
CHLRE_01g014900v5,348.27265291959657,-1.0762251038739288,0.14984841911251373,-7.182091811498157,6.865279046347738e-13,1.4240920346329627e-11,NONE
CHLRE_01g015350v5,2548.512997000956,-1.1784531381864172,0.26785414107409045,-4.3996076874557195,1.0844675204419216e-5,6.19894415237703e-5,NONE
CHLRE_01g015650v5,204.21286690726836,1.8910446740928408,0.21904952635850758,8.632954864270562,5.978703236376924e-18,2.489767552300299e-16,NONE
CHLRE_01g016400v5,3271.4833313566846,-1.0420934430228284,0.15791195198709104,-6.5992056326934465,4.1336663340247706e-11,6.61186144659578e-10,NONE
CHLRE_01g016700v5,401.8966471607618,-2.9517744870595606,0.1915962848652958,-15.40621984990389,1.4865716347252912e-53,5.836917340060661e-51,DOWN
CHLRE_01g016750v5,3.460608365651992,4.012347815453368,1.4245987009570709,2.816475834744059,0.004855369545128446,0.014111719980386534,UP
CHLRE_01g018500v5,285.7681522350589,-1.1492440509829025,0.20670637096845285,-5.559790177721702,2.7009917074843442e-8,2.663998459816048e-7,NONE
CHLRE_01g018600v5,979.1873661655577,1.1676727427931617,0.11831137966252851,9.869488008032976,5.645201279616113e-23,4.08311466237497e-21,NONE
