gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,up_down
CHLRE_12g546550v5,84235.52451563325,10.582613667933929,0.7521910438098208,14.069050349673626,5.885441611418649e-45,1.733157457391159e-42,UP
CHLRE_04g227400v5,4257.820665187859,10.097855118290148,0.4019762109473845,25.12052913402847,2.9676806669017605e-139,3.262668125191796e-136,UP
CHLRE_12g546600v5,14199.18030324154,8.585002743097458,0.2685924659814624,31.962932064110746,3.5722766408644273e-224,9.818402347415877e-221,UP
CHLRE_12g538250v5,29.950625351621568,8.3030832760414,1.2326063519590411,6.736200298534001,1.6258212914722635e-11,2.7986867346209906e-10,UP
CHLRE_17g700950v5,2005.2233787471976,7.920226712608866,1.0688782876993388,7.4098490012893965,1.2644330123754916e-13,2.9122576546207018e-12,UP
CHLRE_12g546500v5,12813.252001617511,7.6598450549909,0.1738312666418027,44.06482908954925,0,0,UP
CHLRE_11g467635v5,26.039056056715964,7.414831192515395,1.2265217312888446,6.045413630563069,1.4902716857572851e-9,1.8395262252861822e-8,UP
CHLRE_04g217937v5,102.82210836763524,7.230896503706212,0.7433800516844259,9.727052114623891,2.3119585238120513e-22,1.5820127807545452e-20,UP
CHLRE_03g192050v5,10112.87514875347,7.190457357723273,0.2274260986779782,31.61667636001852,2.1783100623412942e-219,5.1317873197243254e-216,UP
CHLRE_16g693819v5,3146.1234584367344,7.011692740912582,0.20752738245623992,33.786831684204834,3.078797332645842e-250,1.0154489362532516e-246,UP
